tenure_months,monthly_fee_chf,usage_hours_last_30d,support_tickets_last_6m,payment_delay_days_avg,contract_type,plan_type,auto_renew_enabled,email_engagement_score,days_since_last_login,churned
37,19.42,16.4,1,1.1,monthly,basic,1,5.3,37,0
36,18.86,9.4,1,0.7,monthly,basic,1,1.3,55,1
27,11.99,29.5,0,1.4,annual,basic,0,2.6,37,0
46,38.68,26.1,0,1.4,monthly,basic,1,1.7,68,0
9,23.48,35.6,3,5.6,monthly,standard,1,5.1,51,1
38,48.34,19.5,3,7.2,monthly,standard,1,0.9,19,0
3,29.34,15.2,1,14.3,annual,premium,0,5.9,19,0
24,29.63,18.6,2,7.4,monthly,basic,1,7.6,60,0
15,21.25,29.3,1,4.2,annual,basic,1,0.0,62,0
19,27.22,15.0,1,0.6,annual,standard,1,9.5,48,0
30,36.72,26.5,3,3.1,monthly,premium,1,3.9,69,0
57,38.31,15.8,0,6.7,annual,standard,1,3.9,53,0
53,41.54,18.8,1,4.2,monthly,premium,1,9.2,25,0
17,34.86,23.7,0,5.9,annual,basic,1,2.0,26,1
21,8.0,19.0,0,1.9,annual,standard,1,5.1,41,0
54,20.48,41.2,2,8.1,annual,basic,0,3.8,83,0
15,57.15,27.9,1,2.0,monthly,premium,1,7.2,41,0
18,30.62,29.0,1,1.8,monthly,premium,1,0.9,33,0
1,25.91,29.0,1,3.9,monthly,standard,1,1.4,48,0
51,43.85,31.7,0,2.7,annual,standard,1,8.5,57,0
47,19.83,28.0,1,4.0,monthly,standard,1,9.7,17,0
20,46.36,6.6,2,3.9,monthly,basic,1,8.1,57,1
51,18.47,19.5,2,6.3,monthly,basic,1,6.2,14,0
20,18.94,26.4,3,0.6,monthly,basic,1,2.7,2,0
49,32.57,26.0,2,8.2,monthly,premium,1,6.6,10,0
44,27.64,9.8,3,7.7,annual,standard,1,9.8,39,0
12,20.35,15.8,3,12.6,monthly,basic,1,9.9,81,1
21,36.34,22.1,1,0.6,annual,standard,0,1.7,31,0
50,32.05,16.9,1,0.9,annual,standard,1,5.8,6,0
10,33.44,1.7,3,1.6,annual,standard,1,9.1,29,1
32,24.92,24.9,0,14.1,monthly,premium,1,2.7,6,0
16,41.36,12.2,2,9.9,monthly,standard,0,8.8,79,0
17,36.62,18.7,2,3.3,monthly,standard,1,7.2,13,0
29,50.5,14.8,3,1.1,monthly,premium,1,1.8,74,0
54,28.91,12.1,2,4.3,monthly,basic,1,0.3,12,0
43,44.44,4.6,1,1.7,annual,basic,1,2.6,81,1
4,25.65,33.5,0,5.3,monthly,basic,0,3.6,7,0
21,40.45,27.2,0,3.0,monthly,premium,1,7.1,73,0
23,52.75,39.1,2,3.6,monthly,standard,1,6.6,35,0
22,31.71,25.5,3,3.3,annual,standard,1,7.7,69,0
14,32.96,12.2,4,2.2,annual,standard,0,6.1,42,0
1,36.98,20.3,1,4.6,monthly,premium,1,2.8,42,0
3,27.85,16.4,0,5.7,annual,standard,1,3.4,8,0
47,42.81,16.2,3,6.7,monthly,basic,1,1.4,56,0
18,43.27,8.0,2,7.5,annual,standard,0,2.1,46,0
60,17.67,27.9,1,6.6,annual,basic,0,7.3,22,0
53,61.65,24.9,2,3.0,monthly,basic,1,5.8,84,1
19,45.94,8.6,3,1.1,annual,basic,0,7.1,10,0
37,35.72,9.1,2,6.9,monthly,standard,1,2.0,63,0
5,26.87,25.9,2,1.7,monthly,premium,1,0.9,74,0
23,34.44,7.2,3,1.7,annual,premium,1,1.9,17,0
15,39.67,4.9,0,13.7,monthly,standard,1,6.6,29,0
15,39.44,17.3,4,2.5,monthly,standard,1,6.3,50,1
14,41.44,20.2,1,3.8,monthly,premium,0,9.8,74,0
46,30.08,6.7,2,4.6,annual,premium,1,8.1,42,0
2,16.12,12.3,1,3.5,monthly,standard,1,8.7,88,1
17,31.46,1.5,1,2.5,monthly,basic,0,7.3,25,0
45,37.78,20.3,2,8.3,monthly,basic,0,5.0,88,1
33,8.0,16.4,2,3.1,monthly,premium,1,3.4,19,0
18,28.83,9.5,3,13.5,monthly,standard,1,9.1,25,0
24,42.82,9.2,1,4.0,annual,basic,1,4.1,2,0
28,41.31,11.0,2,6.0,annual,standard,1,5.5,22,0
28,25.96,22.6,1,26.3,monthly,standard,1,9.4,22,0
45,25.35,27.5,2,12.8,monthly,basic,1,1.6,26,0
42,33.49,14.8,1,2.8,annual,premium,0,9.2,74,0
33,52.17,6.7,0,2.7,monthly,premium,1,3.0,71,0
29,33.3,21.7,2,1.2,annual,basic,1,6.7,51,0
41,34.94,10.9,1,8.1,monthly,standard,1,5.6,69,0
18,42.71,31.9,2,10.0,annual,standard,1,0.4,56,1
55,11.28,31.7,3,9.6,monthly,premium,0,9.2,45,0
23,47.28,21.2,0,15.0,monthly,premium,0,6.9,39,1
11,59.03,28.4,3,3.1,monthly,basic,1,4.1,80,0
22,20.0,11.3,0,7.1,annual,standard,1,1.8,28,0
60,29.83,11.8,3,28.5,monthly,standard,0,4.5,52,1
9,53.4,16.9,0,2.1,monthly,standard,1,5.9,49,0
37,37.65,19.4,2,6.6,annual,standard,1,1.1,3,1
43,13.62,33.2,3,5.4,monthly,standard,0,1.6,61,0
23,39.89,25.0,1,1.8,monthly,basic,1,8.9,15,0
8,25.57,19.1,1,3.4,annual,standard,0,7.4,22,0
15,45.87,14.3,4,4.1,monthly,basic,0,5.5,88,1
53,45.91,17.4,2,22.4,monthly,standard,0,2.6,42,0
40,22.42,19.1,2,5.1,monthly,standard,0,4.0,13,1
18,28.29,20.2,3,1.1,annual,basic,1,5.2,60,1
30,43.13,9.9,1,0.6,monthly,standard,0,6.7,44,1
52,35.87,31.1,2,4.2,annual,basic,1,7.3,10,0
2,52.23,6.3,3,1.6,annual,standard,1,8.7,84,0
42,14.54,14.9,2,3.0,monthly,basic,0,7.0,60,1
52,22.04,18.5,0,3.0,annual,standard,0,8.1,30,0
18,30.06,7.1,2,8.5,monthly,basic,1,7.3,64,1
44,30.94,24.3,2,2.3,annual,standard,1,3.1,71,0
16,36.94,14.8,4,1.5,annual,premium,1,8.4,39,0
12,48.81,29.1,1,4.9,annual,premium,1,6.6,70,0
59,20.29,16.5,2,7.7,monthly,basic,1,6.9,62,0
37,34.37,17.1,2,14.9,monthly,standard,0,3.9,38,1
56,17.59,12.3,2,7.4,annual,premium,1,7.1,36,0
15,49.69,16.0,2,6.3,monthly,basic,1,9.4,54,1
25,26.67,4.1,1,4.2,monthly,premium,1,6.7,37,0
30,10.16,22.9,0,9.4,monthly,standard,0,8.4,1,0
5,20.79,10.5,2,1.8,annual,basic,1,5.8,37,0
50,34.12,9.0,0,7.3,monthly,basic,0,6.0,85,1
51,30.1,26.0,2,2.1,monthly,standard,1,3.8,21,0
2,33.34,29.0,3,4.8,monthly,premium,0,4.8,61,0
37,19.42,29.0,3,2.2,monthly,standard,1,8.4,84,0
50,45.62,2.3,2,4.7,annual,standard,1,8.4,46,0
49,41.13,23.1,0,13.9,annual,standard,1,4.3,78,0
55,32.17,28.1,4,4.2,monthly,basic,1,6.3,6,0
2,46.34,18.8,2,8.6,monthly,premium,0,6.0,8,0
58,33.5,18.8,2,3.2,monthly,standard,1,6.0,38,0
50,45.31,15.1,0,5.5,annual,basic,0,9.1,30,0
47,40.03,4.6,0,9.3,annual,premium,1,2.4,43,0
36,20.38,6.7,3,2.2,monthly,basic,1,0.8,70,1
15,28.95,28.8,1,13.4,monthly,standard,1,6.5,21,0
19,33.43,27.0,0,2.2,annual,standard,1,2.6,45,0
59,29.04,15.2,0,2.7,monthly,basic,1,9.4,36,0
38,35.09,22.8,1,2.4,annual,basic,1,7.9,81,0
51,34.39,14.5,1,2.7,monthly,standard,0,9.0,28,0
52,33.13,17.5,5,6.1,monthly,premium,0,9.4,56,0
1,31.63,22.6,0,3.5,monthly,standard,1,3.7,30,0
53,23.99,13.3,3,4.3,monthly,premium,0,9.9,76,0
14,24.74,8.3,3,3.9,annual,standard,1,3.3,27,0
15,37.7,7.4,1,2.7,annual,premium,1,0.8,82,0
49,32.09,0.0,6,3.6,annual,basic,1,4.7,53,0
28,35.51,10.7,0,0.9,monthly,standard,0,5.2,66,1
35,37.33,28.2,3,11.3,monthly,basic,1,0.8,39,0
13,26.74,28.7,4,2.2,monthly,premium,0,1.2,67,0
36,34.96,10.6,1,6.3,annual,basic,1,2.7,29,0
54,21.9,8.7,3,2.9,annual,standard,1,7.1,5,0
18,22.84,7.5,3,8.2,monthly,basic,1,7.2,88,1
50,28.13,13.5,2,3.5,annual,basic,0,7.9,39,0
41,32.91,13.1,1,2.5,monthly,standard,0,0.2,44,1
9,12.77,16.8,0,9.0,monthly,standard,0,0.8,20,0
52,50.48,24.5,2,3.8,annual,basic,0,6.8,12,0
50,54.24,37.2,5,7.1,monthly,basic,1,2.3,62,1
10,41.28,0.0,2,16.9,monthly,standard,1,9.5,38,1
2,26.95,18.4,2,7.7,monthly,standard,1,5.9,5,0
46,39.06,22.2,1,12.2,monthly,premium,0,6.3,41,0
2,23.83,1.1,4,3.6,monthly,standard,1,9.2,11,1
28,20.63,19.8,2,14.2,monthly,basic,0,9.7,6,0
15,40.53,12.6,4,18.9,monthly,standard,0,8.1,1,0
50,43.27,12.7,0,5.7,annual,basic,0,4.2,20,0
54,25.28,24.1,1,5.0,annual,basic,1,6.9,25,0
35,45.99,1.9,0,2.3,monthly,standard,1,1.5,79,1
11,38.05,25.4,0,8.9,annual,standard,1,3.4,57,0
20,15.42,14.1,1,5.6,annual,basic,0,2.6,74,0
25,31.21,42.6,0,4.3,monthly,standard,0,8.3,20,0
26,34.78,29.4,1,7.4,monthly,standard,1,8.9,23,0
1,30.47,43.3,1,5.0,annual,basic,1,6.8,2,0
47,49.01,12.8,1,9.6,monthly,basic,1,3.4,77,0
38,48.21,18.8,0,3.4,monthly,standard,1,0.5,74,0
1,52.08,2.6,2,6.8,annual,basic,1,5.9,26,0
22,42.97,18.1,4,6.2,monthly,standard,0,2.4,19,0
19,36.84,7.5,0,9.1,monthly,standard,1,6.4,37,0
2,47.85,23.7,1,6.8,annual,standard,1,9.2,77,0
14,15.37,12.8,1,4.4,monthly,standard,1,4.8,86,1
16,34.87,23.1,0,5.3,monthly,standard,0,1.0,36,0
10,21.49,29.2,3,2.5,monthly,premium,1,2.5,6,0
3,35.42,24.4,0,10.6,monthly,standard,1,9.7,50,0
9,34.76,16.0,2,4.0,monthly,basic,0,7.8,75,0
25,54.56,25.3,2,6.5,annual,standard,1,2.2,9,0
40,32.58,28.1,0,2.1,monthly,basic,1,3.6,56,1
46,34.43,34.3,4,5.8,annual,standard,1,8.5,39,0
2,50.82,36.2,0,4.6,monthly,standard,1,6.4,31,0
17,52.92,13.1,2,9.9,monthly,standard,1,9.5,21,0
32,17.67,15.0,0,12.1,annual,premium,1,1.3,38,1
1,30.17,14.7,2,1.9,annual,standard,1,1.7,43,1
46,33.29,6.1,3,12.2,annual,premium,1,1.7,25,0
28,42.67,21.9,0,2.2,monthly,basic,1,3.9,37,0
45,33.95,21.8,3,6.3,annual,standard,0,6.8,29,0
43,33.07,24.1,1,2.9,annual,standard,1,6.7,6,0
25,44.74,21.3,2,4.7,monthly,premium,1,5.7,34,0
7,15.55,29.6,3,7.6,annual,premium,1,2.9,10,0
26,41.98,21.7,2,9.8,annual,standard,1,5.6,47,0
35,17.45,15.9,1,2.9,annual,standard,1,4.1,10,0
8,49.89,1.0,4,9.3,monthly,basic,1,8.8,72,1
52,35.92,11.5,0,14.0,annual,basic,0,1.7,2,1
56,33.08,25.3,0,4.1,annual,premium,1,9.0,82,0
44,42.08,9.7,1,8.3,monthly,basic,0,5.3,35,1
30,30.64,6.5,4,12.0,monthly,basic,1,0.6,74,1
14,39.39,14.2,3,1.7,monthly,standard,1,4.9,0,0
2,13.07,16.8,3,1.7,annual,standard,1,4.5,10,0
59,33.1,20.5,3,2.6,monthly,premium,1,7.9,44,0
20,38.2,26.4,1,12.5,monthly,premium,0,7.0,59,0
51,58.63,30.0,2,1.8,monthly,standard,1,2.9,25,0
14,36.62,10.7,1,6.3,annual,standard,1,2.8,61,0
19,28.27,12.8,2,5.5,annual,basic,0,7.9,82,1
31,53.13,29.2,3,5.1,annual,basic,1,1.5,44,0
41,40.37,6.2,2,6.0,monthly,standard,0,6.7,6,0
45,20.37,6.7,1,0.4,monthly,premium,0,2.2,50,1
42,39.47,16.5,2,1.8,monthly,standard,0,1.2,53,0
32,37.26,0.0,6,14.2,monthly,basic,1,0.9,72,1
13,29.78,16.7,1,9.6,monthly,basic,1,8.5,38,0
9,43.55,16.5,1,3.1,monthly,standard,1,10.0,85,1
33,34.43,0.0,0,6.3,monthly,standard,1,6.4,6,0
19,26.63,1.2,2,3.5,monthly,basic,1,0.5,40,1
17,43.65,20.3,0,3.6,monthly,premium,0,9.1,23,0
23,45.79,13.9,1,1.9,monthly,basic,1,7.4,42,0
22,8.0,31.7,1,1.2,monthly,standard,1,5.4,44,0
10,30.48,19.8,2,3.5,annual,basic,1,4.9,62,0
5,36.66,21.2,1,0.1,monthly,standard,1,3.3,18,0
27,39.92,15.2,1,8.0,monthly,premium,1,8.7,17,0
29,22.07,15.1,1,4.1,monthly,basic,1,1.6,14,0
26,39.03,20.6,2,6.7,annual,basic,0,7.2,46,0
42,33.02,27.3,1,6.3,annual,standard,1,0.6,4,0
44,41.1,29.0,1,6.5,monthly,standard,0,1.7,10,0
14,24.67,33.4,0,0.9,monthly,standard,1,4.8,65,0
22,30.43,7.3,2,6.2,annual,standard,1,0.9,31,0
21,28.9,14.8,2,4.3,annual,basic,1,3.4,28,0
11,17.24,28.2,0,7.2,monthly,basic,0,1.3,88,1
35,21.23,15.7,2,5.4,annual,standard,1,2.6,74,0
14,34.57,10.4,3,5.8,monthly,premium,1,6.0,20,0
33,39.04,14.7,5,7.2,annual,standard,0,8.2,71,0
20,46.99,12.5,2,8.1,monthly,standard,1,4.1,78,0
13,27.23,1.8,2,1.9,annual,standard,1,7.9,3,0
11,33.49,32.2,2,1.4,annual,standard,1,9.9,30,0
11,45.09,13.2,2,5.2,annual,premium,1,2.3,88,0
47,28.99,24.2,2,8.1,monthly,standard,1,0.2,44,0
17,57.36,4.9,2,5.6,annual,basic,1,9.3,85,1
26,27.0,23.7,1,4.3,annual,premium,1,6.5,65,0
10,31.94,32.0,3,3.9,annual,premium,1,0.3,2,0
55,22.92,16.8,1,6.1,monthly,basic,0,6.8,39,1
20,44.2,13.8,2,4.3,annual,basic,1,3.6,79,1
17,19.72,12.8,0,3.1,monthly,standard,1,8.1,57,0
37,40.2,20.8,4,0.7,monthly,standard,1,1.8,59,0
51,17.33,21.3,1,3.4,annual,standard,0,1.2,39,0
54,43.83,22.6,2,6.2,annual,standard,1,3.3,71,0
22,29.23,3.0,1,7.8,annual,standard,1,4.5,24,0
11,31.24,16.8,1,4.7,monthly,premium,1,1.2,63,1
17,55.27,25.6,1,1.9,annual,basic,1,7.4,89,0
58,36.39,23.0,0,12.2,monthly,standard,1,7.1,85,1
26,29.64,9.7,3,1.2,annual,premium,1,5.2,38,0
33,37.71,11.9,2,2.0,monthly,premium,1,2.6,4,0
22,46.49,23.2,1,3.8,annual,standard,0,4.2,76,0
26,11.73,16.5,2,23.8,monthly,standard,1,1.8,1,0
1,22.76,37.4,3,1.3,annual,standard,0,2.7,35,0
19,32.88,14.1,2,3.3,monthly,standard,1,6.6,8,0
45,26.15,21.4,0,3.4,annual,basic,1,4.8,24,0
28,36.36,27.5,1,3.4,annual,basic,0,0.5,29,0
53,28.3,28.3,2,2.1,monthly,standard,0,4.3,66,0
13,59.39,22.6,0,7.3,annual,standard,1,3.6,76,0
14,31.39,33.9,4,5.8,annual,basic,1,7.0,69,0
46,41.82,16.6,1,3.1,monthly,premium,1,9.9,22,1
23,21.45,34.4,5,3.7,monthly,standard,0,6.4,63,0
8,33.42,12.2,1,2.9,monthly,standard,0,4.4,20,1
22,21.51,19.6,2,2.6,monthly,standard,1,8.8,32,0
40,22.37,17.2,6,3.1,monthly,standard,0,8.3,2,0
48,13.41,10.9,3,0.7,annual,standard,0,9.1,55,0
60,37.54,7.2,1,9.4,monthly,standard,1,2.4,19,0
24,41.66,19.3,2,2.5,annual,premium,1,8.7,61,0
58,32.13,20.2,3,4.3,monthly,basic,1,8.3,67,0
5,37.91,22.5,5,1.6,monthly,standard,0,9.5,77,0
7,43.41,2.3,1,15.4,annual,standard,1,4.9,34,1
16,33.47,22.2,1,1.6,monthly,premium,1,8.6,42,0
4,34.31,29.7,2,4.7,annual,premium,1,2.0,84,0
60,39.12,21.1,2,7.4,monthly,basic,0,4.5,89,1
17,25.05,25.4,2,2.2,monthly,standard,1,5.1,62,0
38,8.0,21.5,0,3.8,monthly,basic,1,2.5,79,0
55,40.25,19.3,0,4.1,monthly,standard,1,5.6,43,0
31,16.73,27.1,1,1.5,annual,standard,1,4.9,27,0
4,12.35,24.2,2,2.8,monthly,basic,0,6.7,40,1
5,33.94,25.6,3,2.5,monthly,standard,0,4.9,48,1
34,48.14,0.0,2,9.0,monthly,standard,1,4.9,4,1
30,49.83,33.1,3,4.8,annual,standard,0,8.7,57,0
20,29.46,12.4,3,2.4,monthly,standard,0,0.7,11,0
58,41.72,22.4,1,7.3,monthly,basic,1,8.7,76,0
5,45.03,28.2,4,2.4,monthly,standard,1,5.8,42,0
12,33.14,18.5,2,1.6,monthly,standard,1,1.4,19,0
42,33.16,24.1,4,5.1,annual,basic,1,7.3,32,0
37,25.96,7.8,2,9.9,annual,standard,1,6.2,77,1
51,42.16,10.0,2,2.6,annual,standard,0,1.7,36,0
27,28.37,13.0,2,1.5,monthly,basic,0,3.0,10,0
9,32.21,13.3,3,2.9,monthly,basic,1,2.9,23,0
4,33.19,29.1,0,2.1,monthly,standard,1,2.6,60,0
38,34.72,31.2,1,2.6,monthly,standard,1,4.0,34,0
30,28.88,11.5,2,6.3,monthly,standard,1,2.7,30,0
25,31.93,26.9,4,4.4,monthly,basic,1,0.7,77,0
14,29.75,35.8,3,13.7,monthly,standard,1,8.1,71,0
51,23.1,8.6,1,3.1,annual,standard,0,9.8,20,0
6,54.31,26.4,1,9.8,monthly,basic,1,0.3,31,0
13,53.32,20.1,3,7.0,annual,standard,1,6.6,34,0
45,36.15,20.5,4,1.2,annual,premium,1,2.9,66,0
24,14.13,19.1,1,3.1,monthly,standard,1,1.0,74,0
14,58.47,23.7,1,5.1,monthly,standard,1,9.9,63,0
4,37.71,31.2,1,3.2,annual,standard,1,8.4,60,1
19,26.31,6.9,3,3.2,monthly,basic,1,5.5,49,0
38,32.0,9.4,0,0.6,annual,standard,0,1.6,0,0
9,50.68,32.8,3,29.7,monthly,standard,0,7.0,28,0
32,23.36,14.9,1,2.4,annual,premium,0,4.2,85,1
54,30.95,5.2,4,11.0,annual,standard,0,1.3,27,0
54,15.78,20.2,1,6.2,monthly,standard,1,1.0,47,1
39,46.01,4.7,4,1.5,annual,standard,0,1.1,72,1
51,13.22,22.9,0,2.6,monthly,basic,0,9.2,25,0
31,16.6,37.2,4,18.9,monthly,premium,1,9.3,32,0
23,14.99,29.6,3,24.4,annual,standard,0,3.0,27,0
24,27.7,20.3,2,18.9,annual,premium,1,7.4,12,0
4,50.22,20.8,2,2.1,monthly,standard,1,0.6,88,1
28,30.13,0.0,3,22.7,annual,basic,1,5.9,78,1
44,42.64,16.5,2,4.0,monthly,standard,1,3.6,71,0
29,38.09,4.0,1,4.0,monthly,basic,1,7.4,17,0
5,24.18,21.1,0,4.2,annual,standard,1,9.8,49,0
4,22.25,24.2,2,1.7,monthly,premium,1,4.3,89,0
9,41.29,20.9,0,1.4,monthly,standard,1,8.5,60,0
59,8.0,11.5,1,10.4,monthly,standard,1,6.9,24,0
24,54.55,0.0,0,2.9,annual,basic,1,3.8,85,1
35,46.15,16.0,2,2.8,monthly,basic,1,2.4,49,1
47,17.48,12.2,0,5.4,monthly,basic,1,6.5,21,0
57,18.83,14.9,1,2.1,monthly,basic,1,6.3,83,0
46,12.77,15.2,1,9.6,monthly,standard,0,3.7,9,0
51,40.07,12.0,3,3.3,monthly,basic,1,7.5,53,1
57,42.22,6.2,0,1.2,annual,standard,0,0.8,70,1
38,29.41,21.0,2,2.2,monthly,standard,1,4.6,60,0
5,54.54,16.8,3,2.8,annual,standard,0,3.0,89,0
54,38.35,17.4,4,5.0,monthly,premium,1,4.1,67,0
34,26.96,10.7,1,4.8,monthly,standard,1,7.5,48,0
41,22.64,0.0,2,1.8,annual,standard,1,2.0,40,0
2,48.07,12.9,2,5.4,annual,standard,0,1.0,4,0
25,24.09,29.4,0,4.1,annual,premium,0,4.0,84,0
17,19.52,19.0,0,4.8,monthly,basic,1,0.1,69,1
56,47.47,14.8,3,7.9,monthly,standard,1,2.0,52,1
15,37.67,18.5,1,2.2,monthly,standard,1,0.8,41,0
20,45.26,25.0,1,5.8,annual,standard,1,4.7,75,0
35,40.67,28.8,3,4.2,monthly,premium,0,6.8,68,0
28,49.58,9.1,3,2.4,annual,standard,1,4.4,65,0
15,36.42,24.9,0,13.9,monthly,standard,1,7.5,67,1
52,43.89,20.9,3,2.3,monthly,standard,0,7.1,51,0
27,32.88,9.8,0,8.0,annual,basic,0,8.6,18,0
49,43.96,27.3,3,6.4,monthly,basic,1,7.7,58,0
24,37.33,7.3,2,8.1,annual,basic,1,5.1,10,0
51,37.39,6.9,1,5.1,annual,premium,0,2.7,1,0
22,42.9,10.1,2,3.3,monthly,premium,1,9.7,2,0
18,35.35,17.6,1,3.1,monthly,premium,1,6.0,41,0
41,18.21,20.0,1,7.9,annual,standard,1,3.2,44,0
44,46.32,22.3,1,3.9,annual,basic,0,1.4,38,0
17,48.56,30.5,2,12.7,monthly,premium,1,6.8,74,0
10,43.28,14.9,2,0.4,monthly,basic,1,3.5,52,0
43,27.88,12.8,0,0.7,monthly,basic,1,6.0,13,0
5,56.02,23.5,2,10.7,monthly,standard,0,1.3,63,0
24,35.08,10.2,3,8.6,monthly,standard,1,6.2,5,0
30,26.9,17.4,1,14.2,monthly,premium,1,5.5,72,0
41,31.34,9.4,1,8.4,monthly,standard,1,5.3,45,0
2,15.36,8.9,1,1.8,monthly,basic,1,2.4,9,0
47,23.03,27.2,2,1.2,annual,standard,1,3.4,15,0
31,55.62,17.4,2,1.6,monthly,standard,1,7.4,4,0
27,16.88,13.7,1,2.4,monthly,standard,1,7.9,22,0
28,33.02,14.6,0,5.2,annual,basic,1,1.8,47,0
41,27.53,22.4,1,4.2,monthly,basic,1,1.4,70,1
33,18.18,11.4,0,1.1,monthly,standard,0,5.4,46,0
45,43.72,11.2,4,0.7,monthly,standard,0,1.7,35,0
19,42.99,16.7,1,11.0,monthly,basic,1,5.3,76,0
11,41.23,18.9,0,2.4,annual,standard,0,1.0,80,0
45,17.02,18.5,1,6.9,annual,basic,1,3.2,17,0
16,29.38,26.6,0,1.4,monthly,standard,1,4.8,52,0
34,16.6,30.9,1,3.6,monthly,basic,0,5.2,76,0
60,36.01,6.4,1,3.5,monthly,premium,0,2.0,24,0
7,36.62,22.8,2,7.4,annual,standard,0,3.4,8,0
14,45.16,37.1,4,7.5,annual,standard,1,5.3,73,0
7,40.88,14.0,3,12.5,annual,basic,1,5.5,25,0
55,48.17,7.9,1,6.0,annual,standard,0,4.0,2,0
11,33.13,8.5,1,6.7,annual,standard,1,0.2,77,0
47,32.0,1.4,2,10.5,annual,standard,1,2.8,48,1
48,41.35,27.1,2,3.1,monthly,standard,1,5.8,87,0
49,35.43,11.2,1,0.9,annual,premium,1,8.6,75,0
54,58.55,20.8,0,16.2,annual,basic,1,4.1,10,0
26,39.38,21.2,3,5.5,monthly,basic,0,5.7,6,1
32,12.4,22.8,1,9.7,monthly,basic,1,2.6,31,0
42,37.47,21.5,1,12.8,monthly,basic,0,1.9,17,0
11,50.26,40.6,2,9.6,monthly,standard,1,9.5,10,0
11,33.8,15.8,4,10.0,monthly,basic,1,9.1,17,1
32,28.48,13.9,3,3.6,monthly,basic,1,1.6,50,0
28,30.55,14.9,0,11.6,monthly,basic,0,8.1,76,1
31,24.35,18.2,2,1.2,monthly,basic,0,1.4,13,1
20,32.68,20.3,0,5.4,annual,premium,1,1.0,84,0
4,37.7,32.4,1,1.1,annual,basic,1,7.1,50,0
24,13.54,9.9,0,4.2,monthly,standard,0,6.2,68,1
9,30.32,21.5,3,3.2,annual,basic,1,7.8,5,0
29,42.07,20.9,0,5.7,monthly,standard,1,9.2,62,0
43,25.09,15.7,2,0.8,annual,standard,1,4.5,75,0
43,29.94,22.0,0,4.3,monthly,basic,1,6.8,45,0
49,32.71,18.8,1,5.4,monthly,premium,0,7.9,40,0
15,55.69,6.7,3,2.2,annual,standard,1,9.8,36,0
37,38.1,16.3,2,9.0,monthly,basic,1,3.2,60,0
41,40.23,7.7,0,7.5,monthly,premium,0,8.5,34,0
8,24.65,9.0,0,4.8,annual,premium,0,8.8,22,0
31,30.19,21.5,1,7.6,monthly,basic,1,0.4,80,1
37,37.87,24.6,1,10.1,annual,standard,0,2.5,26,0
14,22.53,25.6,1,4.0,monthly,basic,1,8.0,86,1
24,63.76,20.0,1,5.2,annual,premium,0,2.2,28,0
18,43.45,16.9,1,10.2,monthly,basic,1,3.8,72,0
37,32.23,18.5,0,0.9,monthly,basic,0,7.8,72,0
51,34.47,26.1,2,5.7,monthly,basic,0,1.0,72,1
5,18.17,0.2,2,2.2,annual,basic,0,4.2,23,1
45,29.69,20.4,3,10.8,annual,standard,1,7.5,66,0
50,53.39,18.9,3,4.4,annual,premium,1,7.1,16,0
23,30.43,24.9,2,2.3,annual,basic,1,0.8,25,0
11,50.03,11.1,6,16.7,monthly,premium,0,3.6,42,1
4,34.55,20.3,1,5.8,monthly,basic,1,8.3,62,1
10,24.06,10.2,3,0.4,monthly,basic,0,5.7,5,0
23,45.76,22.7,1,8.3,annual,standard,0,9.0,0,0
4,49.76,13.3,2,4.3,monthly,basic,1,3.0,3,0
40,33.3,29.8,1,14.9,monthly,standard,0,4.6,42,0
35,18.61,17.5,2,3.1,monthly,premium,1,7.5,79,0
39,33.28,15.6,1,11.1,monthly,standard,1,2.3,21,0
56,33.71,16.7,3,0.2,monthly,standard,1,4.2,79,0
4,23.07,1.9,4,6.4,monthly,basic,1,6.7,81,1
39,48.95,24.3,3,5.5,annual,standard,1,8.2,45,0
25,52.62,20.3,3,7.0,monthly,standard,0,6.1,83,1
3,31.64,24.5,2,8.4,monthly,standard,1,9.3,43,0
53,43.7,22.1,1,11.3,monthly,standard,0,6.5,18,0
42,60.96,15.7,4,6.6,monthly,premium,1,7.6,1,0
28,52.22,34.8,3,3.4,monthly,basic,0,0.4,80,1
26,43.66,18.0,1,3.5,annual,standard,1,5.6,29,0
4,31.34,4.9,4,9.2,monthly,basic,1,6.8,27,0
51,48.07,10.8,2,0.6,monthly,basic,1,4.6,28,0
41,18.43,7.1,3,1.0,monthly,basic,1,6.3,4,0
50,21.35,15.5,3,0.7,monthly,premium,1,9.1,4,0
17,18.83,22.7,1,1.2,monthly,basic,1,8.6,21,1
38,33.15,20.1,4,5.9,monthly,standard,0,7.3,89,1
9,19.46,6.5,2,5.0,monthly,standard,0,9.6,69,1
18,34.64,13.9,2,7.1,monthly,basic,1,4.7,89,1
20,10.92,17.6,2,1.4,monthly,basic,1,8.6,21,0
52,29.62,20.5,1,3.4,annual,basic,1,3.9,75,0
35,35.2,0.0,2,15.4,annual,standard,0,5.4,14,1
47,47.25,11.8,1,15.4,annual,basic,1,8.7,21,0
4,9.18,12.9,1,1.2,annual,premium,0,5.1,26,0
15,31.19,28.6,0,4.0,monthly,basic,1,1.6,59,1
58,33.58,17.0,5,2.1,monthly,standard,0,6.6,77,0
51,8.0,37.2,3,9.5,monthly,basic,1,3.0,47,0
